,customerDevice,customerEmail,customerIPAddress,customerPhone,customerBillingAddress,fraudulent,orderAmount,orderId,orderShippingAddress,orderState,paymentMethodId,transactionAmount,transactionFailed,transactionId,paymentMethodIssuer,paymentMethodProvider,paymentMethodRegistrationFailure,paymentMethodType
10,slovx60t0i558may4ks0,rubenjuarez@yahoo.com,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,670.664.8168x94985,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",False,34,fbz9ep,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",fulfilled,pdxjdwui4,34,False,vx4cjc27,Grand Credit Corporation,Voyager,False,card
11,slovx60t0i558may4ks0,rubenjuarez@yahoo.com,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,670.664.8168x94985,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",False,26,7odnn6,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",fulfilled,pdxjdwui4,26,False,yiay9b0n,Grand Credit Corporation,Voyager,False,card
12,slovx60t0i558may4ks0,rubenjuarez@yahoo.com,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,670.664.8168x94985,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",False,25,audx7o,"428 Ricardo Mountain
Port Lorihaven, UT 07665-3981",fulfilled,pdxjdwui4,25,False,sn3v0ql2,Grand Credit Corporation,Voyager,False,card
13,j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",True,71,56h7iw,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled,olr4zf09x,71,False,q8j3dgni,Grand Credit Corporation,VISA 13 digit,False,card
14,j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",True,66,kowj1v,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled,gehl28i8u,66,True,xjulqy8x,Bastion Banks,JCB 16 digit,False,card
15,j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",True,69,wlznfu,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",failed,gehl28i8u,69,False,rvm65vr1,Bastion Banks,JCB 16 digit,False,card
16,j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",True,46,hm3rth,"620 Alexander Views
Michaelstad, AK 94959-7484",fulfilled,76bw9eqg2,46,True,kckrvagp,His Majesty Bank Corp.,VISA 16 digit,False,apple pay
17,j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",True,68,vvq05w,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled,s6escw45g,68,False,2slep8t9,Solace Banks,JCB 16 digit,False,card
18,j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",True,59,xwo0al,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled,76bw9eqg2,59,False,yd80pfko,His Majesty Bank Corp.,VISA 16 digit,False,apple pay
19,j0pd24k5h8dl2fqu0cz4,uchen@malone.com,196.89.235.192,1-981-877-0870,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",True,32,2528x8,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled,w1i1zq3rg,32,False,ckk3ux58,Grand Credit Corporation,American Express,False,apple pay
20,hbww39m1wenbq4ymjhsx,robinsoncynthia@dunn.com,43.166.163.164,+65(5)8997489788,"65233 Hutchinson Mountains
Martinezside, OR 75588",True,25,vq7j5b,"764 Collier Springs
Jackfurt, NE 95955-5328",pending,n5fj5bc0e,25,False,67qcpl0r,p,VISA 16 digit,False,card
21,up7afvce5v0omniqlevq,samuel15@saunders-rhodes.com,33.67.35.30,05045239487,"3960 Emily Fort
Staceytown, AR 21817-3325",True,40,sq7rk9,"9447 Cook Extensions
Rebeccahaven, NY 78148-0238",fulfilled,je76d0ulj,40,True,9jutaun8,x,VISA 13 digit,False,apple pay
22,up7afvce5v0omniqlevq,samuel15@saunders-rhodes.com,33.67.35.30,05045239487,"3960 Emily Fort
Staceytown, AR 21817-3325",True,40,sq7rk9,"9447 Cook Extensions
Rebeccahaven, NY 78148-0238",fulfilled,je76d0ulj,40,False,lla8uo92,x,VISA 13 digit,False,apple pay
23,rjb0adai34izqvys4938,johnlowery@gmail.com,212.144.68.190,044-642-9860,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",True,65,kanub7,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",fulfilled,yxsf33ipw,65,True,cfoevtai,Bulwark Trust Corp.,Voyager,False,bitcoin
24,rjb0adai34izqvys4938,johnlowery@gmail.com,212.144.68.190,044-642-9860,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",True,65,kanub7,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",fulfilled,8xex97krx,65,False,300mewnx,Her Majesty Trust,VISA 16 digit,False,card
25,rjb0adai34izqvys4938,johnlowery@gmail.com,212.144.68.190,044-642-9860,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",True,36,605pbl,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",failed,yxsf33ipw,36,False,kg0emdbe,Bulwark Trust Corp.,Voyager,False,bitcoin
26,rjb0adai34izqvys4938,johnlowery@gmail.com,212.144.68.190,044-642-9860,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",True,68,7fs5td,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",fulfilled,yxsf33ipw,68,False,crwqqfpi,Bulwark Trust Corp.,Voyager,False,bitcoin
27,rjb0adai34izqvys4938,johnlowery@gmail.com,212.144.68.190,044-642-9860,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",True,74,ccuh4k,"27513 Betty Gardens Suite 901
Stewartport, CA 27936-0627",fulfilled,8xex97krx,74,True,u2xbyl92,Her Majesty Trust,VISA 16 digit,False,card
28,rjb0adai34izqvys4938,johnlowery@gmail.com,212.144.68.190,044-642-9860,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",True,55,lajvhn,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",fulfilled,8xex97krx,55,False,c5w6btep,Her Majesty Trust,VISA 16 digit,False,card
29,yz4l2bgbvzra5eb5qcan,jameslandry@rodriguez.com,c899:ff67:6864:4365:def3:3023:655f:5181,1-885-168-1310x338,"USNS Price
FPO AE 14661",False,25,mtg9kj,"USNS Price
FPO AE 14661",fulfilled,yk3gx9knx,25,False,idd9amrw,Her Majesty Trust,Discover,False,card
30,yz4l2bgbvzra5eb5qcan,jameslandry@rodriguez.com,c899:ff67:6864:4365:def3:3023:655f:5181,1-885-168-1310x338,"USNS Price
FPO AE 14661",False,21,1b71xd,"USNS Price
FPO AE 14661",pending,yk3gx9knx,21,True,sihnojhc,Her Majesty Trust,Discover,False,card
31,yz4l2bgbvzra5eb5qcan,jameslandry@rodriguez.com,c899:ff67:6864:4365:def3:3023:655f:5181,1-885-168-1310x338,"USNS Price
FPO AE 14661",False,21,1b71xd,"USNS Price
FPO AE 14661",pending,yk3gx9knx,21,True,2ta3i8e2,Her Majesty Trust,Discover,False,card
32,yz4l2bgbvzra5eb5qcan,jameslandry@rodriguez.com,c899:ff67:6864:4365:def3:3023:655f:5181,1-885-168-1310x338,"USNS Price
FPO AE 14661",False,21,1b71xd,"USNS Price
FPO AE 14661",pending,yk3gx9knx,21,True,ksmxqqg3,Her Majesty Trust,Discover,False,card
33,yz4l2bgbvzra5eb5qcan,jameslandry@rodriguez.com,c899:ff67:6864:4365:def3:3023:655f:5181,1-885-168-1310x338,"USNS Price
FPO AE 14661",False,21,1b71xd,"USNS Price
FPO AE 14661",pending,yk3gx9knx,21,False,8pssnrcy,Her Majesty Trust,Discover,False,card
34,qmntgod0numz62gzbla7,bowenwilliam@yahoo.com,231.91.253.19,(128)248-4091x37789,"27061 Wright Forks
Craigland, MN 59915",True,40,a0dh26,"256 Vang Prairie Suite 748
West Troyland, IA 65490-2272",fulfilled,4nt3vg6nr,40,True,i2xemksa,c,Discover,False,card
35,qmntgod0numz62gzbla7,bowenwilliam@yahoo.com,231.91.253.19,(128)248-4091x37789,"27061 Wright Forks
Craigland, MN 59915",True,40,a0dh26,"256 Vang Prairie Suite 748
West Troyland, IA 65490-2272",fulfilled,4nt3vg6nr,40,False,fkxbbt2y,c,Discover,False,card
36,qmntgod0numz62gzbla7,bowenwilliam@yahoo.com,231.91.253.19,(128)248-4091x37789,"27061 Wright Forks
Craigland, MN 59915",True,18,izik2o,"27061 Wright Forks
Craigland, MN 59915",pending,4nt3vg6nr,18,False,ud4zmsnq,c,Discover,False,card
37,qmntgod0numz62gzbla7,bowenwilliam@yahoo.com,231.91.253.19,(128)248-4091x37789,"27061 Wright Forks
Craigland, MN 59915",True,46,2sumqh,"27061 Wright Forks
Craigland, MN 59915",failed,4nt3vg6nr,46,False,wnlc7kcq,c,Discover,False,card
38,qmntgod0numz62gzbla7,bowenwilliam@yahoo.com,231.91.253.19,(128)248-4091x37789,"27061 Wright Forks
Craigland, MN 59915",True,12,kcmymd,"27061 Wright Forks
Craigland, MN 59915",fulfilled,4nt3vg6nr,12,False,uqgebkxo,c,Discover,False,card
39,qmntgod0numz62gzbla7,bowenwilliam@yahoo.com,231.91.253.19,(128)248-4091x37789,"27061 Wright Forks
Craigland, MN 59915",True,11,mocbj3,"27061 Wright Forks
Craigland, MN 59915",fulfilled,4nt3vg6nr,11,True,9u7gmxy2,c,Discover,False,card
40,2ngkzu1idwxintmxwmgn,ksummers@hotmail.com,184.97.57.11,1-023-275-4692,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",False,12,ji75jj,"5918 Jeremy Spur Apt. 524
Martinborough, SC 73839-0349",fulfilled,14t4urgqg,12,False,46ijodjq,Vertex Bancorp,Discover,False,card
41,2ngkzu1idwxintmxwmgn,ksummers@hotmail.com,184.97.57.11,1-023-275-4692,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",False,30,5lyh0x,"7792 Lambert Flats
Jessicaland, OK 69264",fulfilled,anpl44kz2,30,False,xo1gdp22,Bastion Banks,American Express,False,card
42,2ngkzu1idwxintmxwmgn,ksummers@hotmail.com,184.97.57.11,1-023-275-4692,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",False,49,ha14ey,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",fulfilled,14t4urgqg,49,True,33jfoo59,Vertex Bancorp,Discover,False,card
43,2ngkzu1idwxintmxwmgn,ksummers@hotmail.com,184.97.57.11,1-023-275-4692,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",False,49,ha14ey,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",fulfilled,ahnb9wv33,49,False,i8bk4lna,Her Majesty Trust,VISA 13 digit,False,card
44,2ngkzu1idwxintmxwmgn,ksummers@hotmail.com,184.97.57.11,1-023-275-4692,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",False,45,ni3keo,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",fulfilled,ahnb9wv33,45,True,7p73brx2,Her Majesty Trust,VISA 13 digit,False,card
45,2ngkzu1idwxintmxwmgn,ksummers@hotmail.com,184.97.57.11,1-023-275-4692,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",False,28,vvo42o,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",fulfilled,ahnb9wv33,28,True,zwl18ddd,Her Majesty Trust,VISA 13 digit,False,card
46,2ngkzu1idwxintmxwmgn,ksummers@hotmail.com,184.97.57.11,1-023-275-4692,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",False,28,vvo42o,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",fulfilled,12sooz8hm,28,False,i8zlhilq,Vertex Bancorp,Maestro,False,bitcoin
47,j8cp1uydkuyza2eo0mir,christineklein@wright-boyd.org,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,897-464-6425x941,"67636 Renee Islands Suite 307
Teresaview, ND 09042",False,10,abc26t,"PSC 4895, Box 9024
APO AA 50628-5796",fulfilled,9pfrhknoz,10,False,fgobyd98,Citizens First Banks,VISA 16 digit,False,bitcoin
48,j8cp1uydkuyza2eo0mir,christineklein@wright-boyd.org,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,897-464-6425x941,"67636 Renee Islands Suite 307
Teresaview, ND 09042",False,45,bdzhkd,"67636 Renee Islands Suite 307
Teresaview, ND 09042",pending,ow9u8ogs4,45,False,c4fephmj,Vertex Bancorp,VISA 16 digit,False,card
49,j8cp1uydkuyza2eo0mir,christineklein@wright-boyd.org,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,897-464-6425x941,"67636 Renee Islands Suite 307
Teresaview, ND 09042",False,46,l8smyt,"957 Sheila Prairie
West Jacquelineburgh, DE 46455-3868",fulfilled,ow9u8ogs4,46,False,07hkhmmf,Vertex Bancorp,VISA 16 digit,False,card
50,j8cp1uydkuyza2eo0mir,christineklein@wright-boyd.org,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,897-464-6425x941,"67636 Renee Islands Suite 307
Teresaview, ND 09042",False,16,0esxhp,"355 Tamara Plains
North Judyton, LA 04531",fulfilled,ow9u8ogs4,16,False,jz6qu6zy,Vertex Bancorp,VISA 16 digit,False,card
51,qsxqbn6qjxkni7f813qn,meganwalters@chavez.com,98.229.160.246,(522)133-8741x643,"7541 Olson Glens
Ballshire, IL 29415",False,43,ooxrwm,"PSC 5530, Box 9664
APO AE 46314",fulfilled,o2ct2h9fp,43,True,bhil44kr,Her Majesty Trust,Mastercard,False,card
52,qsxqbn6qjxkni7f813qn,meganwalters@chavez.com,98.229.160.246,(522)133-8741x643,"7541 Olson Glens
Ballshire, IL 29415",False,43,ooxrwm,"PSC 5530, Box 9664
APO AE 46314",fulfilled,o2ct2h9fp,43,False,nw0a0y9s,Her Majesty Trust,Mastercard,False,card
53,qsxqbn6qjxkni7f813qn,meganwalters@chavez.com,98.229.160.246,(522)133-8741x643,"7541 Olson Glens
Ballshire, IL 29415",False,34,2p3zor,"00287 Davidson Stravenue
New Staceytown, ND 18845",fulfilled,o2ct2h9fp,34,True,enl54gvp,Her Majesty Trust,Mastercard,False,card
54,qsxqbn6qjxkni7f813qn,meganwalters@chavez.com,98.229.160.246,(522)133-8741x643,"7541 Olson Glens
Ballshire, IL 29415",False,34,2p3zor,"00287 Davidson Stravenue
New Staceytown, ND 18845",fulfilled,o2ct2h9fp,34,False,hkcfpxan,Her Majesty Trust,Mastercard,False,card
55,lixwrlvcr4g5ht600dk9,caleb94@sutton.info,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,07452086668,"813 Miller Lakes
Lake Christina, SD 29778-1298",False,19,49zp0m,"813 Miller Lakes
Lake Christina, SD 29778-1298",failed,5a44rykx3,19,False,n7vnyysr,Solace Banks,VISA 16 digit,False,card
56,lixwrlvcr4g5ht600dk9,caleb94@sutton.info,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,07452086668,"813 Miller Lakes
Lake Christina, SD 29778-1298",False,46,eqpu3r,"813 Miller Lakes
Lake Christina, SD 29778-1298",fulfilled,5a44rykx3,46,False,mx7hay87,Solace Banks,VISA 16 digit,False,card
57,lixwrlvcr4g5ht600dk9,caleb94@sutton.info,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,07452086668,"813 Miller Lakes
Lake Christina, SD 29778-1298",False,39,gzlvco,"813 Miller Lakes
Lake Christina, SD 29778-1298",fulfilled,5a44rykx3,39,False,vby375q9,Solace Banks,VISA 16 digit,False,card
58,lixwrlvcr4g5ht600dk9,caleb94@sutton.info,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,07452086668,"813 Miller Lakes
Lake Christina, SD 29778-1298",False,35,p1yden,"813 Miller Lakes
Lake Christina, SD 29778-1298",fulfilled,5a44rykx3,35,False,1ti2lm0o,Solace Banks,VISA 16 digit,False,card
59,lixwrlvcr4g5ht600dk9,caleb94@sutton.info,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,07452086668,"813 Miller Lakes
Lake Christina, SD 29778-1298",False,46,bkvs1p,"813 Miller Lakes
Lake Christina, SD 29778-1298",failed,5a44rykx3,46,False,fwq4f8bn,Solace Banks,VISA 16 digit,False,card
60,hmkn4nmfc5q5mgify2zw,gonzalesjackson@gmail.com,229.2.225.188,1-410-373-1228x129,"566 Courtney Stream
Reedland, NH 84853",True,50,s7dg4a,"60769 Yang Fork
Port Samanthachester, OH 10135-7083",fulfilled,7964l78jo,50,False,zcnztn97,a,VISA 16 digit,False,apple pay
61,hmkn4nmfc5q5mgify2zw,gonzalesjackson@gmail.com,229.2.225.188,1-410-373-1228x129,"566 Courtney Stream
Reedland, NH 84853",True,41,jlzkil,"566 Courtney Stream
Reedland, NH 84853",fulfilled,7964l78jo,41,False,zx8st0gu,a,VISA 16 digit,False,apple pay
62,hmkn4nmfc5q5mgify2zw,gonzalesjackson@gmail.com,229.2.225.188,1-410-373-1228x129,"566 Courtney Stream
Reedland, NH 84853",True,44,f8bsyg,"611 Steven Land Suite 843
Loganhaven, NY 14012",fulfilled,7964l78jo,44,False,fzvbpn58,a,VISA 16 digit,False,apple pay
63,hmkn4nmfc5q5mgify2zw,gonzalesjackson@gmail.com,229.2.225.188,1-410-373-1228x129,"566 Courtney Stream
Reedland, NH 84853",True,41,u3ogjs,"566 Courtney Stream
Reedland, NH 84853",fulfilled,7964l78jo,41,False,1wa1s613,a,VISA 16 digit,False,apple pay
64,wb0uylp0rwy01x5j1jzd,dana09@yahoo.com,166.148.66.158,515.708.2280x105,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",False,12,giqilg,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",fulfilled,1lejsiqz7,12,True,koade5oa,Bastion Banks,JCB 16 digit,False,card
65,wb0uylp0rwy01x5j1jzd,dana09@yahoo.com,166.148.66.158,515.708.2280x105,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",False,12,giqilg,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",fulfilled,ww9fq10ca,12,False,3cryzmi3,Solace Banks,JCB 16 digit,False,bitcoin
66,wb0uylp0rwy01x5j1jzd,dana09@yahoo.com,166.148.66.158,515.708.2280x105,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",False,33,g56nmt,"5145 Marquez Oval
South Lisaborough, RI 54165",fulfilled,1lejsiqz7,33,True,okdmow3s,Bastion Banks,JCB 16 digit,False,card
67,wb0uylp0rwy01x5j1jzd,dana09@yahoo.com,166.148.66.158,515.708.2280x105,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",False,33,g56nmt,"5145 Marquez Oval
South Lisaborough, RI 54165",fulfilled,ww9fq10ca,33,True,wt1g1zul,Solace Banks,JCB 16 digit,False,bitcoin
68,wb0uylp0rwy01x5j1jzd,dana09@yahoo.com,166.148.66.158,515.708.2280x105,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",False,33,g56nmt,"5145 Marquez Oval
South Lisaborough, RI 54165",fulfilled,ww9fq10ca,33,False,2yzkbxnq,Solace Banks,JCB 16 digit,False,bitcoin
69,wb0uylp0rwy01x5j1jzd,dana09@yahoo.com,166.148.66.158,515.708.2280x105,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",False,40,2ai67b,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",fulfilled,1lejsiqz7,40,False,scls9w4j,Bastion Banks,JCB 16 digit,False,card
70,cq5wya63n1w79o0hlnpm,alec27@bell.com,128.61.46.131,895-224-8246x9667,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",False,34,28xxko,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",pending,6n2psn50k,34,False,jbnf5zpw,Fountain Financial Inc.,Voyager,False,card
71,cq5wya63n1w79o0hlnpm,alec27@bell.com,128.61.46.131,895-224-8246x9667,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",False,12,iyl91j,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",fulfilled,6n2psn50k,12,False,60kuyxra,Fountain Financial Inc.,Voyager,False,card
72,cq5wya63n1w79o0hlnpm,alec27@bell.com,128.61.46.131,895-224-8246x9667,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",False,30,j7ene4,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",fulfilled,366dsl3w0,30,True,vfrua0id,Her Majesty Trust,VISA 16 digit,False,card
73,cq5wya63n1w79o0hlnpm,alec27@bell.com,128.61.46.131,895-224-8246x9667,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",False,30,j7ene4,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",fulfilled,6n2psn50k,30,True,u6wa5ysx,Fountain Financial Inc.,Voyager,False,card
74,cq5wya63n1w79o0hlnpm,alec27@bell.com,128.61.46.131,895-224-8246x9667,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",False,30,j7ene4,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",fulfilled,6n2psn50k,30,False,gj13pt1o,Fountain Financial Inc.,Voyager,False,card
75,cq5wya63n1w79o0hlnpm,alec27@bell.com,128.61.46.131,895-224-8246x9667,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",False,22,mir5zf,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",fulfilled,366dsl3w0,22,False,jh5r2s3s,Her Majesty Trust,VISA 16 digit,False,card
76,sj72s0k7wxdrxu3rcmba,juliecook@hotmail.com,61ba:a72b:5401:db1a:9833:d0da:254c:2369,1-412-734-7967x67388,"1750 Alicia Shoals Apt. 000
South Benjamin, ND 75373",False,11,p6g2g0,"1750 Alicia Shoals Apt. 000
South Benjamin, ND 75373",fulfilled,rqpuq19z6,11,False,5855qbk5,His Majesty Bank Corp.,Voyager,False,card
77,sj72s0k7wxdrxu3rcmba,juliecook@hotmail.com,61ba:a72b:5401:db1a:9833:d0da:254c:2369,1-412-734-7967x67388,"1750 Alicia Shoals Apt. 000
South Benjamin, ND 75373",False,14,7y5qly,"1750 Alicia Shoals Apt. 000
South Benjamin, ND 75373",fulfilled,rqpuq19z6,14,False,6lf1jy8o,His Majesty Bank Corp.,Voyager,False,card
78,2vpovzopjoqppeqfa5nw,meganberry@clark.biz,73.182.31.59,1-991-846-6271x54037,"34944 Glenn Mountain
Sherryhaven, TN 36252",False,37,1d19rh,"833 Mathis Prairie
Fergusonview, MH 81934-1374",fulfilled,bcetnywn4,37,False,74b4ih1u,Her Majesty Trust,JCB 16 digit,False,card
79,2vpovzopjoqppeqfa5nw,meganberry@clark.biz,73.182.31.59,1-991-846-6271x54037,"34944 Glenn Mountain
Sherryhaven, TN 36252",False,42,deh1ao,"34944 Glenn Mountain
Sherryhaven, TN 36252",fulfilled,bcetnywn4,42,True,o4z2x2e9,Her Majesty Trust,JCB 16 digit,False,card
80,2vpovzopjoqppeqfa5nw,meganberry@clark.biz,73.182.31.59,1-991-846-6271x54037,"34944 Glenn Mountain
Sherryhaven, TN 36252",False,42,deh1ao,"34944 Glenn Mountain
Sherryhaven, TN 36252",fulfilled,bcetnywn4,42,False,1u5d7k9y,Her Majesty Trust,JCB 16 digit,False,card
